"赛事ID","UTC时间","阶段","小组","场地","主队","客队","主队缩写","客队缩写","主队进球","客队进球","主队视角比分","总进球","半场主队进球","半场客队进球","半场比分","半场主队结果","全场主队结果","半全场主队结果","数据源"
"760415","2026-06-11T19:00Z","小组赛","","Estadio Banorte","墨西哥","南非","MEX","RSA","2","0","2-0","2","1","0","1-0","胜","胜","胜胜","ESPN public API"
"760414","2026-06-12T02:00Z","小组赛","","Estadio Akron","韩国","捷克","KOR","CZE","2","1","2-1","3","0","0","0-0","平","胜","平胜","ESPN public API"
"760416","2026-06-12T19:00Z","小组赛","","BMO Field","加拿大","波黑","CAN","BIH","1","1","1-1","2","0","1","0-1","负","平","负平","ESPN public API"
"760417","2026-06-13T01:00Z","小组赛","","SoFi Stadium","美国","巴拉圭","USA","PAR","4","1","4-1","5","3","0","3-0","胜","胜","胜胜","ESPN public API"
"760420","2026-06-13T19:00Z","小组赛","","Levi's Stadium","卡塔尔","瑞士","QAT","SUI","1","1","1-1","2","0","1","0-1","负","平","负平","ESPN public API"
"760419","2026-06-13T22:00Z","小组赛","","MetLife Stadium","巴西","摩洛哥","BRA","MAR","1","1","1-1","2","1","1","1-1","平","平","平平","ESPN public API"
"760418","2026-06-14T01:00Z","小组赛","","Gillette Stadium","海地","苏格兰","HAI","SCO","0","1","0-1","1","0","1","0-1","负","负","负负","ESPN public API"
"760421","2026-06-14T04:00Z","小组赛","","BC Place","澳大利亚","土耳其","AUS","TUR","2","0","2-0","2","1","0","1-0","胜","胜","胜胜","ESPN public API"
"760422","2026-06-14T17:00Z","小组赛","","NRG Stadium","德国","库拉索","GER","CUW","7","1","7-1","8","3","1","3-1","胜","胜","胜胜","ESPN public API"
"760425","2026-06-14T20:00Z","小组赛","","AT&T Stadium","荷兰","日本","NED","JPN","2","2","2-2","4","0","0","0-0","平","平","平平","ESPN public API"
"760423","2026-06-14T23:00Z","小组赛","","Lincoln Financial Field","科特迪瓦","厄瓜多尔","CIV","ECU","1","0","1-0","1","0","0","0-0","平","胜","平胜","ESPN public API"
"760424","2026-06-15T02:00Z","小组赛","","Estadio BBVA","瑞典","突尼斯","SWE","TUN","5","1","5-1","6","2","1","2-1","胜","胜","胜胜","ESPN public API"
"760428","2026-06-15T16:00Z","小组赛","","Mercedes-Benz Stadium","西班牙","佛得角","ESP","CPV","0","0","0-0","0","0","0","0-0","平","平","平平","ESPN public API"
"760426","2026-06-15T19:00Z","小组赛","","Lumen Field","比利时","埃及","BEL","EGY","1","1","1-1","2","0","1","0-1","负","平","负平","ESPN public API"
"760429","2026-06-15T22:00Z","小组赛","","Hard Rock Stadium","沙特阿拉伯","乌拉圭","KSA","URU","1","1","1-1","2","1","0","1-0","胜","平","胜平","ESPN public API"
"760427","2026-06-16T01:00Z","小组赛","","SoFi Stadium","伊朗","新西兰","IRN","NZL","2","2","2-2","4","1","1","1-1","平","平","平平","ESPN public API"
"760432","2026-06-16T19:00Z","小组赛","","MetLife Stadium","法国","塞内加尔","FRA","SEN","3","1","3-1","4","0","0","0-0","平","胜","平胜","ESPN public API"
"760430","2026-06-16T22:00Z","小组赛","","Gillette Stadium","伊拉克","挪威","IRQ","NOR","1","4","1-4","5","1","2","1-2","负","负","负负","ESPN public API"
"760433","2026-06-17T01:00Z","小组赛","","GEHA Field at Arrowhead Stadium","阿根廷","阿尔及利亚","ARG","ALG","3","0","3-0","3","1","0","1-0","胜","胜","胜胜","ESPN public API"
"760431","2026-06-17T04:00Z","小组赛","","Levi's Stadium","奥地利","约旦","AUT","JOR","3","1","3-1","4","1","0","1-0","胜","胜","胜胜","ESPN public API"
"760435","2026-06-17T17:00Z","小组赛","","NRG Stadium","葡萄牙","刚果（金）","POR","COD","1","1","1-1","2","1","1","1-1","平","平","平平","ESPN public API"
"760437","2026-06-17T20:00Z","小组赛","","AT&T Stadium","英格兰","克罗地亚","ENG","CRO","4","2","4-2","6","2","2","2-2","平","胜","平胜","ESPN public API"
"760434","2026-06-17T23:00Z","小组赛","","BMO Field","加纳","巴拿马","GHA","PAN","1","0","1-0","1","0","0","0-0","平","胜","平胜","ESPN public API"
"760436","2026-06-18T02:00Z","小组赛","","Estadio Banorte","乌兹别克斯坦","哥伦比亚","UZB","COL","1","3","1-3","4","0","1","0-1","负","负","负负","ESPN public API"
"760438","2026-06-18T16:00Z","小组赛","","Mercedes-Benz Stadium","捷克","南非","CZE","RSA","1","1","1-1","2","1","0","1-0","胜","平","胜平","ESPN public API"
"760439","2026-06-18T19:00Z","小组赛","","SoFi Stadium","瑞士","波黑","SUI","BIH","4","1","4-1","5","0","0","0-0","平","胜","平胜","ESPN public API"
"760440","2026-06-18T22:00Z","小组赛","","BC Place","加拿大","卡塔尔","CAN","QAT","6","0","6-0","6","3","0","3-0","胜","胜","胜胜","ESPN public API"
"760441","2026-06-19T01:00Z","小组赛","","Estadio Akron","墨西哥","韩国","MEX","KOR","1","0","1-0","1","0","0","0-0","平","胜","平胜","ESPN public API"
"760442","2026-06-19T19:00Z","小组赛","","Lumen Field","美国","澳大利亚","USA","AUS","2","0","2-0","2","2","0","2-0","胜","胜","胜胜","ESPN public API"
"760445","2026-06-19T22:00Z","小组赛","","Gillette Stadium","苏格兰","摩洛哥","SCO","MAR","0","1","0-1","1","0","1","0-1","负","负","负负","ESPN public API"
"760444","2026-06-20T00:30Z","小组赛","","Lincoln Financial Field","巴西","海地","BRA","HAI","3","0","3-0","3","3","0","3-0","胜","胜","胜胜","ESPN public API"
"760443","2026-06-20T03:00Z","小组赛","","Levi's Stadium","土耳其","巴拉圭","TUR","PAR","0","1","0-1","1","0","1","0-1","负","负","负负","ESPN public API"
"760447","2026-06-20T17:00Z","小组赛","","NRG Stadium","荷兰","瑞典","NED","SWE","5","1","5-1","6","2","0","2-0","胜","胜","胜胜","ESPN public API"
"760448","2026-06-20T20:00Z","小组赛","","BMO Field","德国","科特迪瓦","GER","CIV","2","1","2-1","3","0","1","0-1","负","胜","负胜","ESPN public API"
"760446","2026-06-21T00:00Z","小组赛","","GEHA Field at Arrowhead Stadium","厄瓜多尔","库拉索","ECU","CUW","0","0","0-0","0","0","0","0-0","平","平","平平","ESPN public API"
"760449","2026-06-21T04:00Z","小组赛","","Estadio BBVA","突尼斯","日本","TUN","JPN","0","4","0-4","4","0","2","0-2","负","负","负负","ESPN public API"
"760453","2026-06-21T16:00Z","小组赛","","Mercedes-Benz Stadium","西班牙","沙特阿拉伯","ESP","KSA","4","0","4-0","4","3","0","3-0","胜","胜","胜胜","ESPN public API"
"760451","2026-06-21T19:00Z","小组赛","","SoFi Stadium","比利时","伊朗","BEL","IRN","0","0","0-0","0","0","0","0-0","平","平","平平","ESPN public API"
"760450","2026-06-21T22:00Z","小组赛","","Hard Rock Stadium","乌拉圭","佛得角","URU","CPV","2","2","2-2","4","2","1","2-1","胜","平","胜平","ESPN public API"
"760452","2026-06-22T01:00Z","小组赛","","BC Place","新西兰","埃及","NZL","EGY","1","3","1-3","4","1","0","1-0","胜","负","胜负","ESPN public API"
"760456","2026-06-22T17:00Z","小组赛","","AT&T Stadium","阿根廷","奥地利","ARG","AUT","2","0","2-0","2","1","0","1-0","胜","胜","胜胜","ESPN public API"
"760457","2026-06-22T21:00Z","小组赛","","Lincoln Financial Field","法国","伊拉克","FRA","IRQ","3","0","3-0","3","1","0","1-0","胜","胜","胜胜","ESPN public API"
"760454","2026-06-23T00:00Z","小组赛","","MetLife Stadium","挪威","塞内加尔","NOR","SEN","3","2","3-2","5","1","0","1-0","胜","胜","胜胜","ESPN public API"
"760455","2026-06-23T03:00Z","小组赛","","Levi's Stadium","约旦","阿尔及利亚","JOR","ALG","1","2","1-2","3","1","0","1-0","胜","负","胜负","ESPN public API"
"760461","2026-06-23T17:00Z","小组赛","","NRG Stadium","葡萄牙","乌兹别克斯坦","POR","UZB","5","0","5-0","5","3","0","3-0","胜","胜","胜胜","ESPN public API"
"760458","2026-06-23T20:00Z","小组赛","","Gillette Stadium","英格兰","加纳","ENG","GHA","0","0","0-0","0","0","0","0-0","平","平","平平","ESPN public API"
