event_id,date_utc,stage,group,venue,home_team,away_team,home_abbr,away_abbr,home_goals,away_goals,scoreline_home,total_goals,ht_home_goals,ht_away_goals,halftime_score_home,halftime_result_home,full_result_home,ht_ft_home,source
760415,2026-06-11T19:00Z,group-stage,,Estadio Banorte,Mexico,South Africa,MEX,RSA,2,0,2-0,2,1,0,1-0,胜,胜,胜胜,ESPN public API
760414,2026-06-12T02:00Z,group-stage,,Estadio Akron,South Korea,Czechia,KOR,CZE,2,1,2-1,3,0,0,0-0,平,胜,平胜,ESPN public API
760416,2026-06-12T19:00Z,group-stage,,BMO Field,Canada,Bosnia-Herzegovina,CAN,BIH,1,1,1-1,2,0,1,0-1,负,平,负平,ESPN public API
760417,2026-06-13T01:00Z,group-stage,,SoFi Stadium,United States,Paraguay,USA,PAR,4,1,4-1,5,3,0,3-0,胜,胜,胜胜,ESPN public API
760420,2026-06-13T19:00Z,group-stage,,Levi's Stadium,Qatar,Switzerland,QAT,SUI,1,1,1-1,2,0,1,0-1,负,平,负平,ESPN public API
760419,2026-06-13T22:00Z,group-stage,,MetLife Stadium,Brazil,Morocco,BRA,MAR,1,1,1-1,2,1,1,1-1,平,平,平平,ESPN public API
760418,2026-06-14T01:00Z,group-stage,,Gillette Stadium,Haiti,Scotland,HAI,SCO,0,1,0-1,1,0,1,0-1,负,负,负负,ESPN public API
760421,2026-06-14T04:00Z,group-stage,,BC Place,Australia,Türkiye,AUS,TUR,2,0,2-0,2,1,0,1-0,胜,胜,胜胜,ESPN public API
760422,2026-06-14T17:00Z,group-stage,,NRG Stadium,Germany,Curaçao,GER,CUW,7,1,7-1,8,3,1,3-1,胜,胜,胜胜,ESPN public API
760425,2026-06-14T20:00Z,group-stage,,AT&T Stadium,Netherlands,Japan,NED,JPN,2,2,2-2,4,0,0,0-0,平,平,平平,ESPN public API
760423,2026-06-14T23:00Z,group-stage,,Lincoln Financial Field,Ivory Coast,Ecuador,CIV,ECU,1,0,1-0,1,0,0,0-0,平,胜,平胜,ESPN public API
760424,2026-06-15T02:00Z,group-stage,,Estadio BBVA,Sweden,Tunisia,SWE,TUN,5,1,5-1,6,2,1,2-1,胜,胜,胜胜,ESPN public API
760428,2026-06-15T16:00Z,group-stage,,Mercedes-Benz Stadium,Spain,Cape Verde,ESP,CPV,0,0,0-0,0,0,0,0-0,平,平,平平,ESPN public API
760426,2026-06-15T19:00Z,group-stage,,Lumen Field,Belgium,Egypt,BEL,EGY,1,1,1-1,2,0,1,0-1,负,平,负平,ESPN public API
760429,2026-06-15T22:00Z,group-stage,,Hard Rock Stadium,Saudi Arabia,Uruguay,KSA,URU,1,1,1-1,2,1,0,1-0,胜,平,胜平,ESPN public API
760427,2026-06-16T01:00Z,group-stage,,SoFi Stadium,Iran,New Zealand,IRN,NZL,2,2,2-2,4,1,1,1-1,平,平,平平,ESPN public API
760432,2026-06-16T19:00Z,group-stage,,MetLife Stadium,France,Senegal,FRA,SEN,3,1,3-1,4,0,0,0-0,平,胜,平胜,ESPN public API
